Molecule Name,DTXSID,CASRN,SMILES,id,nconf
,,,CCOc1ccc([C@@H](C)Nc2nc(N3CCN(C(C)=O)CC3)nc3c2CN(C(C)C)C3=O)cc1,963ef1e4c77871a7,5
ibodutant,DTXSID20966639,522664-63-7,Cc1ccc2cc(C(=O)NC3(C(=O)N[C@H](Cc4ccccc4)C(=O)NCC4CCN(CC5CCOCC5)CC4)CCCC3)sc2c1,a7fb977474573de5,2
"3-[(2r)-2-amino-2-phenylethyl]-1-(2,6-difluorobenzyl)-5-(2-fluoro-3-methoxyphenyl)-6-methyl-2,4(1h,3h)-pyrimidinedione",DTXSID001352286,352290-60-9,COc1cccc(-c2c(C)n(Cc3c(F)cccc3F)c(=O)n(C[C@H](N)c3ccccc3)c2=O)c1F,8b962045c3ab24ba,17
,,,Cc1ncc(CNC2CCN(CCn3c(=O)ccc4ncc(F)cc43)CC2)cc1C#N,8aa753016f38fa9a,5
,,,O=C1CCCN1Cc1ccc(-n2nc(C(F)(F)F)c3c2CCOC3)cc1,9f32d0f1f1a6933d,13
n-(4-{[4-(cyclopentylcarbonyl)-1-piperazinyl]sulfonyl}phenyl)acrylamide,DTXSID801352028,1306720-78-4,C=CC(=O)Nc1ccc(S(=O)(=O)N2CCN(C(=O)C3CCCC3)CC2)cc1,7a52f06fa49d9c2c,7
4-pyridinemethanol,DTXSID90870638,586-95-8,OCc1ccncc1,a7e2295b4330595f,1
,,,O=C(NCc1ccc(Cl)s1)c1ccc2[nH]c(-c3ccc(C(=O)c4ccccc4C(F)(F)F)cc3)nc2c1,458f297ac58b9ec3,18
"n-(4-ethynylphenyl)-5,7-dimethylpyrazolo[1,5-a]pyrimidine-3-carboxamide",DTXSID201352056,1380716-06-2,C#Cc1ccc(NC(=O)c2cnn3c(C)cc(C)nc23)cc1,2e490454289c1b02,1
,,,C[C@@H]1CN(c2cc(=O)c3cc(C(=O)N(C)C)cc(CN4CCOc5c(F)cc(F)cc54)c3o2)CCO1,09b3d51f69d108a2,9
,,,Cc1nsc(-c2nnc3n2CCN(C(=O)c2ccc(F)cc2)[C@@H]3CCO)n1,f8ad937fd93b969c,3
,,,CCOC(=O)c1cc(C#N)c(N2CCC(NC(=O)NS(=O)(=O)c3ccc(Cl)s3)CC2)nc1C,e4f568af31edb201,5
bms-433771,DTXSID20202746,543700-68-1,O=c1n(Cc2nc3ccccc3n2CCCCO)c2cnccc2n1C1CC1,775f9b6719b6ae41,5
,,,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N2CCC(O)CC2)cc2c(=O)cc(N3CCOCC3)oc12,cd3acd13308cf007,2
"4-ethyl-11-methoxy-3a,7,9,11,13,15-hexamethyl-2,6,8,14-tetraoxo-1-{4-[4-(pyridin-3-yl)-1h-imidazol-1-yl]butyl}tetradecahydro-2h-oxacyclotetradecino[4,3-d][1,3]oxazol-10-yl 3,4,6-trideoxy-3-(dimethylamino)hexopyranoside",DTXSID90861480,NOCAS_861480,CCC1OC(=O)C(C)C(=O)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(OC)CC(C)C(=O)C(C)C2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)OC12C,a293ecb069bd4334,1
,,,CNc1ccc(-c2nc(=O)n(CCC3CCC(C)O3)c3c2oc2ncc(-c4cnn(C)c4)cc23)cn1,702153afea39e031,13
"4-(3,3-dimethylbutanamido)-3,5-difluoro-n-(1,3-thiazol-2-yl)benzamide",DTXSID001352436,851202-49-8,CC(C)(C)CC(=O)Nc1c(F)cc(C(=O)Nc2nccs2)cc1F,be94dfb3a6686d6a,7
,,,Cn1cc(C#N)c2ccc(NC(=O)NOCc3ccccc3)cc21,0f1806ab16cdfade,7
,,,Cc1cc(CN(C)C)ccc1OC1CN(C(=O)c2nnc(-c3ccccc3)o2)C1,ac1707907b8fa0a6,2
"methanesulfonamide, n-[2-(4-methoxyphenoxy)-4-nitrophenyl]-",DTXSID40432386,51765-76-5,COc1ccc(Oc2cc([N+](=O)[O-])ccc2NS(C)(=O)=O)cc1,f2c4eaeca31b8cd5,11
"6,7-difluoro-3,3-bis(4-hydroxyphenyl)-1,3-dihydro-2h-indol-2-one",DTXSID401352452,867154-86-7,O=C1Nc2c(ccc(F)c2F)C1(c1ccc(O)cc1)c1ccc(O)cc1,ba0501cda073c8c1,3
,,,COc1cnc2ccc(=O)n(CCN3CCC(NCc4cnc(OC)c(C#N)c4)CC3)c2c1,08f29a6178d5ed6e,4
"2-(5-amino-6-{1-methyl-7-[(3s)-3-methyl-1-piperazinyl]-1h-benzimidazol-2-yl}-2-pyrazinyl)-n,n-dimethylisonicotinamide",DTXSID101352196,1889336-59-7,C[C@H]1CN(c2cccc3nc(-c4nc(-c5cc(C(=O)N(C)C)ccn5)cnc4N)n(C)c23)CCN1,df67c7475fbaa1dd,8
,,,O=C1c2ncc3c(c(COCCc4ccccn4)cn3Cc3ccc(F)cc3)c2CCN1O,ca5ea8f6472943c6,6
"3-{4-[(5-methyl-2-phenyl-1,3-oxazol-4-yl)methoxy]phenyl}propanoic acid",DTXSID401352183,1798751-25-3,Cc1oc(-c2ccccc2)nc1COc1ccc(CCC(=O)O)cc1,cf4bb300166c8abf,14
,,,NC(=O)[C@H](Cc1ccccc1)N1CCNC(=O)CCN[C@@H](Cc2ccccc2)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC1=O,9985326416965ef6,2
,,,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,062bed1568e16a5d,1
,,,CC(Nc1cc(F)cc(F)c1)c1cc(C(=O)N(C)CCO)cc2c(=O)cc(N3CCOCC3)oc12,e6cd541d418ba6c6,1
1-methyl-2-(methylsulfanyl)-1h-benzimidazole,DTXSID201352301,4344-61-0,CSc1nc2ccccc2n1C,411996bb6aba0e09,1
4-[3-(carboxymethyl)-4-{(e)-2-[4-(4-phenoxybutoxy)phenyl]vinyl}-1h-indol-1-yl]butanoic acid,DTXSID701352582,908131-71-5,O=C(O)CCCn1cc(CC(=O)O)c2c(/C=C/c3ccc(OCCCCOc4ccccc4)cc3)cccc21,feae6427ff0d0838,2
,,,CN(CCO)Cc1cn(Cc2ccc(F)cc2)c2cnc3c(c12)CCN(O)C3=O,11b708211019c08c,13
"2-(1h-imidazol-1-yl)-3-[(3,4,5-trimethoxyphenyl)sulfanyl]-1h-indole",DTXSID401352064,1416576-23-2,COc1cc(Sc2c(-n3ccnc3)[nH]c3ccccc23)cc(OC)c1OC,1a9d16a7ca8da2fa,9
,,,Nc1ncnc2c1C(=O)N(c1ccc(-c3ccccc3)cc1)CCO2,6df6cf7921b1574f,8
,,,CC(C)c1nc(-c2nnc3n2CCN(C(=O)c2ccc(-c4cccs4)cc2)[C@@H]3C)co1,9940d876ce7977a0,6
acebutolol,DTXSID2048539,37517-30-9,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,93d1d2b8662236dc,7
"2-(2-chlorophenyl)-4-methyl-5-[(pyridin-2-yl)methyl]-1h-pyrazolo[4,3-c]pyridine-3,6(2h,5h)-dione",DTXSID50588686,955272-06-7,Cc1c2c(=O)n(-c3ccccc3Cl)[nH]c2cc(=O)n1Cc1ccccn1,c9cf9e0819409a79,6
"9-(4-hydroxy-3,5-dimethoxyphenyl)-8-oxo-5,5a,6,8,8a,9-hexahydro-2h-furo[3',4':6,7]naphtho[2,3-d][1,3]dioxol-5-yl 4,6-o-ethylidenehexopyranoside",DTXSID60860485,NOCAS_860485,COc1cc(C2c3cc4c(cc3C(OC3OC5COC(C)OC5C(O)C3O)C3COC(=O)C23)OCO4)cc(OC)c1O,6e743fd1c7fd9e0b,2
,,,COc1c(S(=O)(=O)Nc2ccc(C(F)(F)F)cc2)ccc2c1C(=O)NC(C)(C)C(=O)N2,22718a0c57a18556,7
"n-[4-hydroxy-1,6-diphenyl-5-({[(1,3-thiazol-5-yl)methoxy]carbonyl}amino)hexan-2-yl]-n~2~-(methyl{[2-(propan-2-yl)-1,3-thiazol-4-yl]methyl}carbamoyl)valinamide",DTXSID60861417,NOCAS_861417,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,2cd4d7a509841d2a,4
,,,N#CCc1ccccc1C#Cc1ccc(CCC(=O)O)cc1,20200acd9b97e860,15
"1-(3-amino-1,2-benzoxazol-5-yl)-6-(4-{2-[(dimethylamino)methyl]-3-pyridinyl}-2-fluorophenyl)-7-fluoro-1h-indazole-3-carboxamide",DTXSID301352530,885591-80-0,CN(C)Cc1ncccc1-c1ccc(-c2ccc3c(C(N)=O)nn(-c4ccc5onc(N)c5c4)c3c2F)c(F)c1,b8c940e4ed835101,10
,,,CC1(O)CCN(Cc2ccc(OC3CN(C(=O)c4nnc(-c5ccccc5)o4)C3)cc2)C1,f8ef740551e385cd,5
